2024-03-17,00:22:27,24.56 C,35.123 %RH
2024-03-17,00:52:27,24.55 C,35.391 %RH
2024-03-17,01:22:27,24.62 C,35.041 %RH
2024-03-17,01:52:27,24.65 C,35.953 %RH
2024-03-17,02:22:27,24.64 C,37.122 %RH
2024-03-17,02:52:27,24.66 C,37.684 %RH
2024-03-17,03:22:27,24.61 C,38.651 %RH
2024-03-17,03:52:27,24.57 C,39.526 %RH
2024-03-17,04:22:27,24.57 C,40.038 %RH
2024-03-17,04:52:28,24.59 C,39.881 %RH
2024-03-17,05:22:28,24.59 C,40.189 %RH
2024-03-17,05:52:28,24.59 C,40.052 %RH
2024-03-17,06:22:28,24.62 C,39.956 %RH
2024-03-17,06:52:28,24.64 C,40.027 %RH
2024-03-17,07:22:28,24.64 C,40.375 %RH
2024-03-17,07:52:28,24.63 C,40.849 %RH
2024-03-17,08:22:28,24.61 C,41.271 %RH
2024-03-17,08:52:28,24.6 C,41.599 %RH
2024-03-17,09:22:28,24.61 C,41.881 %RH
2024-03-17,09:52:28,24.6 C,42.17 %RH
2024-03-17,10:22:29,24.61 C,41.921 %RH
2024-03-17,10:52:29,24.58 C,41.853 %RH
2024-03-17,11:22:29,24.56 C,42.385 %RH
2024-03-17,11:52:29,24.54 C,43.093 %RH
2024-03-17,12:22:29,24.53 C,43.049 %RH
2024-03-17,12:52:29,24.51 C,43.342 %RH
2024-03-17,13:22:29,24.51 C,42.692 %RH
2024-03-17,13:52:29,24.53 C,41.714 %RH
2024-03-17,14:22:29,24.54 C,41.838 %RH
2024-03-17,14:52:29,24.55 C,41.811 %RH
2024-03-17,15:22:29,24.56 C,41.705 %RH
2024-03-17,15:52:30,24.59 C,40.166 %RH
2024-03-17,16:22:30,24.59 C,39.403 %RH
2024-03-17,16:52:30,24.63 C,39.083 %RH
2024-03-17,17:22:30,24.69 C,39.582 %RH
2024-03-17,17:52:30,24.72 C,39.818 %RH
2024-03-17,18:22:30,24.74 C,39.639 %RH
2024-03-17,18:52:30,24.76 C,38.935 %RH
2024-03-17,19:22:30,24.77 C,38.912 %RH
2024-03-17,19:52:30,24.74 C,39.077 %RH
2024-03-17,20:22:31,24.71 C,39.043 %RH
2024-03-17,20:52:31,24.69 C,38.935 %RH
2024-03-17,21:22:31,24.68 C,38.848 %RH
2024-03-17,21:52:31,24.67 C,38.786 %RH
2024-03-17,22:22:31,24.64 C,38.873 %RH
2024-03-17,22:52:31,24.6 C,38.99 %RH
2024-03-17,23:22:31,24.55 C,38.933 %RH
2024-03-17,23:52:31,24.52 C,38.651 %RH
